NU_ANO_CENSO|ID_DOCENTE|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|TP_LOCAL_RESID_DIFERENCIADA|IN_NECESSIDADE_ESPECIAL|IN_BAIXA_VISAO|IN_CEGUEIRA|IN_DEF_AUDITIVA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_SURDEZ|IN_SURDOCEGUEIRA|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SUPERDOTACAO|TP_ESCOLARIDADE|TP_ENSINO_MEDIO|TP_SITUACAO_CURSO_1|CO_AREA_CURSO_1|CO_CURSO_1|IN_LICENCIATURA_1|NU_ANO_CONCLUSAO_1|TP_TIPO_IES_1|CO_IES_1|TP_SITUACAO_CURSO_2|CO_AREA_CURSO_2|CO_CURSO_2|IN_LICENCIATURA_2|NU_ANO_CONCLUSAO_2|TP_TIPO_IES_2|CO_IES_2|TP_SITUACAO_CURSO_3|CO_AREA_CURSO_3|CO_CURSO_3|IN_LICENCIATURA_3|NU_ANO_CONCLUSAO_3|TP_TIPO_IES_3|CO_IES_3|IN_COMPLEMENTACAO_PEDAGOGICA|CO_AREA_COMPL_PEDAGOGICA_1|CO_AREA_COMPL_PEDAGOGICA_2|CO_AREA_COMPL_PEDAGOGICA_3|IN_ESPECIALIZACAO|IN_MESTRADO|IN_DOUTORADO|IN_POS_NENHUM|IN_ESPECIFICO_CRECHE|IN_ESPECIFICO_PRE_ESCOLA|IN_ESPECIFICO_ANOS_INICIAIS|IN_ESPECIFICO_ANOS_FINAIS|IN_ESPECIFICO_ENS_MEDIO|IN_ESPECIFICO_EJA|IN_ESPECIFICO_ED_ESPECIAL|IN_ESPECIFICO_ED_INDIGENA|IN_ESPECIFICO_CAMPO|IN_ESPECIFICO_AMBIENTAL|IN_ESPECIFICO_DIR_HUMANOS|IN_ESPECIFICO_DIV_SEXUAL|IN_ESPECIFICO_DIR_ADOLESC|IN_ESPECIFICO_AFRO|IN_ESPECIFICO_GESTAO|IN_ESPECIFICO_OUTROS|IN_ESPECIFICO_NENHUM|ID_TURMA|TP_TIPO_DOCENTE|TP_TIPO_CONTRATACAO|IN_DISC_LINGUA_PORTUGUESA|IN_DISC_EDUCACAO_FISICA|IN_DISC_ARTES|IN_DISC_LINGUA_INGLES|IN_DISC_LINGUA_ESPANHOL|IN_DISC_LINGUA_FRANCES|IN_DISC_LINGUA_OUTRA|IN_DISC_LIBRAS|IN_DISC_LINGUA_INDIGENA|IN_DISC_PORT_SEGUNDA_LINGUA|IN_DISC_MATEMATICA|IN_DISC_CIENCIAS|IN_DISC_FISICA|IN_DISC_QUIMICA|IN_DISC_BIOLOGIA|IN_DISC_HISTORIA|IN_DISC_GEOGRAFIA|IN_DISC_SOCIOLOGIA|IN_DISC_FILOSOFIA|IN_DISC_ESTUDOS_SOCIAIS|IN_DISC_EST_SOCIAIS_SOCIOLOGIA|IN_DISC_INFORMATICA_COMPUTACAO|IN_DISC_ENSINO_RELIGIOSO|IN_DISC_PROFISSIONALIZANTE|IN_DISC_ESTAGIO_SUPERVISIONADO|IN_DISC_PEDAGOGICAS|IN_DISC_OUTRAS|TP_TIPO_ATENDIMENTO_TURMA|TP_TIPO_LOCAL_TURMA|TP_MEDIACAO_DIDATICO_PEDAGO|TP_ETAPA_ENSINO|CO_CURSO_EDUC_PROFISSIONAL|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_OSCIP|IN_MANT_ESCOLA_PRIV_ONG_OSCIP|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2019|0008390A5DB770D3B34234945B3C3173|10|1971|47|48|1|1|1|76|50.0|5003207.0|50.0|5003207.0|1.0|0.0|0|||||||||||4|1.0|1.0|1.0|145F01|1|1993.0|1.0|694.0||||0|||||||0||||0||||0.0|1.0|0.0|0.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|600918|1|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0||||0.0|1|0.0|1|70.0||0.0|0.0|1.0|0.0|50000314|5|5001|50001|50|5003207|500320705|3|1|||||||||||1|0|0
2019|001243C9A4F75273200E60DE23FC5552|10|1976|42|43|2|3|1|76|17.0|1714302.0|52.0|5205802.0|1.0||0|||||||||||4||1.0|1.0|142P01|1|2013.0|1.0|829.0||||0|||||||0||||0||||1.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|15158715|1|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0||||0.0|1|0.0|1|20.0||0.0|1.0|0.0|0.0|52044629|5|5204|52012|52|5205513|520551305|3|1|||||||||||1|0|0
2019|0018DA9CC33135A61DE56FEA3F87AB56|5|1974|45|45|2|3|1|76|25.0|2504009.0|53.0|5300108.0|1.0||0|||||||||||4||1.0|1.0|145F10|1|2005.0|2.0|404.0||||0|||||||0||||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|14594144|1|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0||0.0|0.0|0.0||||0.0|1|0.0|1|20.0||0.0|1.0|0.0|0.0|53005090|5|5301|53001|53|5300108|530010805|2|1|||||||||||1|0|0
2019|0023DA86AB95B8766410FC14CA203B60|7|1974|44|45|1|1|1|76|53.0|5300108.0|52.0|5221858.0|1.0|0.0|0|||||||||||3|1.0||||0|||||||0|||||||0||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|15379103|1|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|1.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0||||1.0|1|0.0|1|26.0||0.0|1.0|0.0|0.0|52086160|5|5204|52012|52|5221858|522185805|2|1|||||||||||1|0|0
2019|003040B9F4ED73A4FB51C80F40C7B1F2|4|1978|41|41|2|3|1|76|50.0|5003207.0|50.0|5003207.0|1.0||0|||||||||||4||1.0|1.0|142P01|1|2016.0|2.0|671.0||||0|||||||0||||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|4125075|1|2.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0||||0.0|1|0.0|1|22.0||0.0|1.0|0.0|0.0|50029746|5|5001|50001|50|5003207|500320705|2|2|||||||||||1|2|1
2019|0036F011CF15FB9A30F6E5EF4AA08ED3|4|1985|34|34|1|3|1|76|35.0|3547809.0|52.0|5211503.0|1.0||0|||||||||||4||1.0|1.0|145F11|1|2009.0|1.0|47.0||||0|||||||0||||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|15201845|1|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0|0.0|0.0|1.0|0.0||1.0|0.0|0.0||||0.0|1|0.0|1|26.0||0.0|1.0|0.0|0.0|52088413|5|5205|52015|52|5211503|521150305|2|1|||||||||||1|0|0
2019|003F32322CC1DD810871D3A772379FD8|8|1963|55|56|1|1|1|76|52.0|5206800.0|53.0|5300108.0|1.0||0|||||||||||4|1.0|1.0|2.0|226F01|0|1992.0|2.0|387.0||||0|||||||0||||0||||0.0|1.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|14593829|1|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0|0.0|0.0|0.0|1.0||0.0|0.0|0.0||||0.0|1|0.0|1|25.0||0.0|1.0|0.0|0.0|53012100|5|5301|53001|53|5300108|530010805|2|1|||||||||||1|0|0
2019|0044C89DBBE36BED8AAA07133867016E|9|1985|33|34|2|0|1|76|51.0|5103205.0|51.0|5106158.0|1.0|0.0|0|||||||||||4||1.0|1.0|142P01|1|2016.0|2.0|673.0||||0|||||||0||||0||||1.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|16428719|1|2.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0||||0.0|1|0.0|1|27.0||0.0|1.0|0.0|0.0|51004968|5|5101|51002|51|5106158|510615805|2|1|||||||||||1|0|0
2019|004C0820C6FC8D90885AD3B56DF03097|5|1976|43|43|1|3|1|76|51.0|5100508.0|51.0|5105259.0|1.0|0.0|0|||||||||||4|1.0|1.0|1.0|145F15|1|2004.0|1.0|719.0|1.0|1.0|145F14|1|2013.0|1.0|1.0||||0||||0||||1.0|0.0|0.0|0.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|1|0|12214622|1||0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||||0.0|0.0||0.0|0.0|0.0|0.0|0.0||||0.0|1|0.0|1|17.0||0.0|1.0|0.0|0.0|51169827|5|5101|51006|51|5105259|510525905|4|1|1.0|0.0||1.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0
2019|005195129C78F45D820B71245C47CDFD|7|1984|34|35|2|1|1|76|53.0|5300108.0|||1.0|0.0|0|||||||||||4|1.0|1.0|1.0|142P01|1|2010.0|2.0|2348.0||||0|||||||0||||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|15094629|1||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||||0.0|1.0||0.0|0.0|0.0|0.0|0.0||||0.0|1|0.0|1|18.0||0.0|1.0|0.0|0.0|53001338|5|5301|53001|53|5300108|530010805|4|1|4.0|0.0||0.0|0.0|0.0|0.0|0.0|0.0|1.0|1|0|0
